Sample Number	Sample	Substrate category	Food type	Metabolomics	Metagenomics	NFkB_bioassay	RNAseq	ingredients	producer	main ingredient	Sample notes	all_ingredients	main_ingredient_organic_status	producer	producer_country	dominant_fermentation_chemistry	foodon_high	foodon_mid	foodon_specific	foodon_parent_label	foodon_grandparent_label	foodon_lineage	foodon_specific_canonical_id
FF0036	Traditional Red Miso	Soy	Miso	yes	yes	2	2	organic soybeans, rice, salt, koji culture	Miso Master Organic	soybean		organic soybeans, rice, salt, koji culture	organic	Miso Master Organic	US	mixed koji/lactic acid/other	plant-based food product	fermented legume product	miso	miso food product	fermented soybean food product	miso > miso food product > fermented soybean food product > plant food product	FOODON:00003208
FF0062	Hornbacher cheese	dairy	cheese		yes	1	0	cow milk, salt, rennet, cheese cultures	unknown	milk		cow milk, salt, rennet, cheese cultures	not_organic	unknown	Switzerland	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
FF0086	Fermented seaweed salad	Vegetable	pickled vegetable		yes	2	2	Blanched Kelp, Vegan Kimchi Juice (Napa Cabbage, Daikon Radish, Miso [Filtered Water, Rice, Soybeans, Sea Salt, Alcohol], Garlic, Salt, Red Pepper Powder, Sugar, Scallions, Onion, Ginger), Sugar, Ginger, Salt, Scallions, Sesame Oil, Sesame Seeds, Onion, Tamari (Water, Soybeans, Salt, Sugar)	Atlantic Sea Farms	kelp		Blanched Kelp, Vegan Kimchi Juice (Napa Cabbage, Daikon Radish, Miso [Filtered Water, Rice, Soybeans, Sea Salt, Alcohol], Garlic, Salt, Red Pepper Powder, Sugar, Scallions, Onion, Ginger), Sugar, Ginger, Salt, Scallions, Sesame Oil, Sesame Seeds, Onion, Tamari (Water, Soybeans, Salt, Sugar)	not_organic	Atlantic Sea Farms	US	lactic acid	marine plant-based food product	fermented vegetable product	lactic acid fermented vegetable	food (fermented)	food material by process	lactic acid fermented vegetable > food (fermented) > food material by process > plant food product	unknown
FF0091	MeeChun Salted black bean	Soy	douchi	yes	yes	1	0	black soybeans, salt	Mee Chun	soybean		black soybeans, salt	not_organic	Mee Chun	China	mixed koji/unknown	plant-based food product	fermented legume product	douchi	fermented bean product	bean food product	douchi > fermented bean product > bean food product > plant food product	unknown
FF0092	New York Natto Organic	Soy	natto	yes	yes	1	0	organic soybeans, Bacillus subtilis culture	New York Natto	soybean		organic soybeans, Bacillus subtilis culture	organic	New York Natto	US	alkaline	plant-based food product	fermented legume product	natto	fermented soybean food product	fermented bean product	nattō > fermented soybean food product > fermented bean product > plant food product	FOODON:00002870
FF0121	Straus organic kefir, plain	Dairy	kefir	yes	yes	3	3	Pasteurized Organic Lowfat Milk, Organic Sweet Cream Buttermilk, Live and Active Cultures: S. Thermophilus, Lb. Delbrueckii Bulgaricus, Lb. Casei, Lb. Acidophilus, Bifidobacterium, Lb. Rhamnosus, L. Cremoris, L. Lactis, L. Diacetylactis, Leuconostoc, Lb. Lactis.	Straus Family Creamery	milk		Pasteurized Organic Lowfat Milk, Organic Sweet Cream Buttermilk, Live and Active Cultures: S. Thermophilus, Lb. Delbrueckii Bulgaricus, Lb. Casei, Lb. Acidophilus, Bifidobacterium, Lb. Rhamnosus, L. Cremoris, L. Lactis, L. Diacetylactis, Leuconostoc, Lb. Lactis.	organic	Straus Family Creamery	US	lactic acid	animal-based food product	fermented milk product	kefir	kefir food product	cultured dairy product	kefir > kefir food product > cultured dairy product > animal food product	FOODON:03310290
FF0122	alexandre farms prebiotic kefir	Dairy	kefir	yes	yes	1	0	Organic 100% Grass-fed Lowfat Milk, Live and Active Cultures: Bifidobacterium: Lactis (4), Infantis. Lactobacillus: Delbrueckii (2), Acidophilus (3), Casei (2), Plantarum, Paracasei, Rhamnosus (3), Brevis. Lactococcus: Lactis (4). Streptococcus: Thermophillus. Leuconostoc: 	Alexandre Family Farms	milk		Organic 100% Grass-fed Lowfat Milk, Live and Active Cultures: Bifidobacterium: Lactis (4), Infantis. Lactobacillus: Delbrueckii (2), Acidophilus (3), Casei (2), Plantarum, Paracasei, Rhamnosus (3), Brevis. Lactococcus: Lactis (4). Streptococcus: Thermophillus. Leuconostoc: 	organic	Alexandre Family Farms	US	lactic acid	animal-based food product	fermented milk product	kefir	kefir food product	cultured dairy product	kefir > kefir food product > cultured dairy product > animal food product	FOODON:03310290
FF0123	kefirlab probiotic kefir	Dairy	kefir	yes	yes	3	2	Organic Whole Milk, Live & Active Probiotic Cultures: BIFIDOBACTERIUM: BIFIDUM, INFANTIS, LACTIS (2). LACTOBACILLUS: CASEI (5), ACIDOPHILUS (2), FERMENTUM, PLANTARUM, PARACASEI, RHAMNOSUS (3), DELBRUECKII (2). LEUCONOSTOC: MESENTEROIDES. STREPTOCOCCUS: THERMOPHILUS.	KefirLab	milk		Organic Whole Milk, Live & Active Probiotic Cultures: BIFIDOBACTERIUM: BIFIDUM, INFANTIS, LACTIS (2). LACTOBACILLUS: CASEI (5), ACIDOPHILUS (2), FERMENTUM, PLANTARUM, PARACASEI, RHAMNOSUS (3), DELBRUECKII (2). LEUCONOSTOC: MESENTEROIDES. STREPTOCOCCUS: THERMOPHILUS.	organic	KefirLab	US	lactic acid	animal-based food product	fermented milk product	kefir	kefir food product	cultured dairy product	kefir > kefir food product > cultured dairy product > animal food product	FOODON:03310290
FF0124	white mountain bulgarian yogurt	Dairy	yogurt	yes	yes	1	0	Grade A Pasteurized Whole Milk and Live Cultures (L. Acidophilus, L. Bulgaricus, S. Thermophilus, B. Bifidum)	White Mountain Foods	milk		Grade A Pasteurized Whole Milk and Live Cultures (L. Acidophilus, L. Bulgaricus, S. Thermophilus, B. Bifidum)	not_organic	White Mountain Foods	US	lactic acid	animal-based food product	fermented milk product	yogurt	fermented dairy food product	dairy food product	yogurt food product > fermented dairy food product > dairy food product > animal food product	FOODON:00001014
FF0125	straus organic yogurt	Dairy	yogurt	yes	yes	1	2	Pasteurized Organic Whole Milk, Organic Sweet Cream Buttermilk, Living Yogurt Cultures: L. Acidophilus, L. Bulgaricus, S. Thermophilus and Bifi­dobacterium Lactis.	Straus Family Creamery	milk		Pasteurized Organic Whole Milk, Organic Sweet Cream Buttermilk, Living Yogurt Cultures: L. Acidophilus, L. Bulgaricus, S. Thermophilus and Bifi­dobacterium Lactis.	organic	Straus Family Creamery	US	lactic acid	animal-based food product	fermented milk product	yogurt	fermented dairy food product	dairy food product	yogurt food product > fermented dairy food product > dairy food product > animal food product	FOODON:00001014
